city;area;rooms;bathroom;parking spaces;floor;animal;furniture;hoa (R$);property tax (R$);fire insurance (R$);rent amount (R$)
Rio de Janeiro;32;1;1;0;8;acept;not furnished;574;66;19;1400
São Paulo;360;4;9;8;-;acept;not furnished;0;1329;129;8540
São Paulo;24;1;1;0;-;not acept;not furnished;0;0;14;870
São Paulo;55;1;1;1;10;acept;furnished;920;309;41;3190
Belo Horizonte;83;3;2;2;1;acept;not furnished;200;112;17;1250
São Paulo;87;3;2;2;9;not acept;not furnished;940;234;33;2600
Campinas;64;2;1;1;2;acept;not furnished;549;76;11;850
São Paulo;25;1;1;0;-;not acept;not furnished;0;87;21;1350
São Paulo;30;1;1;1;6;acept;not furnished;1900;125;26;2001
Rio de Janeiro;500;2;5;5;-;not acept;not furnished;0;54;28;1810
Porto Alegre;75;2;2;2;4;acept;furnished;400;92;41;2750
São Paulo;205;3;3;4;-;acept;not furnished;0;667;98;6500
Belo Horizonte;88;3;2;0;-;acept;not furnished;0;295;20;1200
Porto Alegre;60;3;2;1;3;acept;not furnished;700;80;27;1800
Belo Horizonte;70;2;1;1;3;acept;not furnished;215;60;15;1100
Rio de Janeiro;100;2;3;0;1;acept;not furnished;0;130;22;1700
Porto Alegre;37;1;1;0;2;acept;not furnished;220;13;10;628
São Paulo;45;1;1;0;-;not acept;not furnished;50;34;16;1050
São Paulo;330;3;3;5;-;acept;not furnished;0;1201;128;8500
São Paulo;35;1;1;0;2;not acept;furnished;726;200;36;2800
Belo Horizonte;144;3;1;2;-;acept;not furnished;483;170;31;2300
Belo Horizonte;70;3;2;1;3;acept;not furnished;250;69;16;1200
São Paulo;68;2;2;1;14;acept;not furnished;762;154;27;2083
São Paulo;101;3;2;2;6;not acept;not furnished;1205;316;67;5250
São Paulo;33;1;1;1;5;acept;not furnished;842;95;26;2000
São Paulo;200;4;2;2;-;acept;not furnished;0;250;88;5800
São Paulo;80;2;1;0;-;acept;not furnished;0;52;22;1439
São Paulo;74;2;1;0;-;not acept;not furnished;0;34;20;1290
Belo Horizonte;65;2;2;1;2;acept;not furnished;300;76;20;1500
Campinas;111;3;3;3;6;not acept;furnished;1000;283;64;5000
São Paulo;380;3;6;8;-;acept;furnished;0;244;136;9000
São Paulo;60;2;1;0;-;acept;not furnished;120;90;26;1720
São Paulo;300;3;3;5;-;acept;not furnished;0;417;64;4250
Porto Alegre;72;2;2;2;6;acept;not furnished;400;88;36;2400
Rio de Janeiro;75;2;2;1;5;not acept;furnished;1832;263;36;2750
São Paulo;70;2;1;2;7;acept;not furnished;543;156;18;1400
Belo Horizonte;360;5;4;1;-;acept;not furnished;0;158;76;4600
São Paulo;23;1;1;0;1;acept;not furnished;423;0;21;1580
São Paulo;100;3;2;2;10;not acept;not furnished;2152;227;45;3500
São Paulo;150;4;4;3;-;acept;not furnished;0;172;62;4100
Rio de Janeiro;57;1;1;1;2;acept;furnished;2480;800;32;2480
São Paulo;180;3;2;2;-;acept;not furnished;0;188;50;3270
Belo Horizonte;360;3;3;4;-;acept;not furnished;0;454;82;5000
São Paulo;120;3;3;2;11;acept;not furnished;995;100;28;2200
Belo Horizonte;45;2;1;1;1;not acept;not furnished;300;0;12;900
Rio de Janeiro;30;1;1;0;8;acept;not furnished;456;94;12;900
São Paulo;40;1;1;1;6;not acept;furnished;1300;248;39;3000
São Paulo;130;3;2;1;2;not acept;not furnished;1100;384;58;4500
Campinas;68;2;1;1;3;acept;not furnished;482;0;11;831
São Paulo;70;2;1;1;1;acept;not furnished;280;138;13;1000
Rio de Janeiro;77;2;2;1;1;acept;not furnished;1150;230;39;3000
São Paulo;220;4;4;1;19;acept;not furnished;1800;650;70;5500
Campinas;55;1;1;1;10;acept;not furnished;550;80;10;720
Porto Alegre;70;3;1;1;13;acept;not furnished;500;36;19;1300
São Paulo;250;4;4;4;9;acept;not furnished;3300;1120;153;12000
São Paulo;110;3;2;2;6;acept;not furnished;950;385;71;5550
Campinas;151;2;2;1;8;acept;furnished;900;262;26;2000
Campinas;45;1;1;0;4;acept;not furnished;290;10;9;700
Belo Horizonte;40;1;1;1;13;acept;not furnished;591;272;35;2600
Belo Horizonte;98;3;2;2;3;acept;not furnished;260;82;15;1100
São Paulo;70;2;2;1;1;acept;not furnished;280;138;13;1000
São Paulo;205;4;3;3;10;acept;not furnished;3800;1167;127;10000
São Paulo;40;1;1;1;3;not acept;not furnished;225;65;14;1080
São Paulo;100;3;2;1;6;acept;not furnished;1684;325;46;3600
Belo Horizonte;55;2;1;1;1;acept;not furnished;250;83;16;1200
São Paulo;288;3;3;3;-;acept;not furnished;0;878;181;12000
Rio de Janeiro;70;1;1;0;9;not acept;furnished;776;77;44;3400
São Paulo;70;2;1;1;8;not acept;not furnished;600;0;26;2000
São Paulo;100;2;2;2;15;acept;not furnished;1050;109;36;2780
Porto Alegre;72;2;1;0;3;acept;furnished;620;54;24;1600
Rio de Janeiro;20;1;1;0;-;acept;furnished;422;20;13;980
Porto Alegre;360;4;4;4;-;not acept;not furnished;0;321;51;2820
São Paulo;150;3;3;2;-;acept;not furnished;0;235;71;4680
São Paulo;130;3;4;0;3;acept;furnished;0;0;31;2443
São Paulo;22;1;1;0;25;acept;not furnished;385;40;27;2100
Campinas;53;1;1;1;8;acept;furnished;1350;85;40;3110
Rio de Janeiro;53;2;1;0;11;not acept;not furnished;500;0;13;1000
São Paulo;642;4;7;4;-;acept;not furnished;0;250;137;9050
São Paulo;240;4;5;5;9;acept;furnished;3442;1529;126;9900
São Paulo;450;3;3;1;-;acept;not furnished;1125;59;98;6500
Campinas;57;2;1;1;3;not acept;not furnished;343;67;11;850
Belo Horizonte;130;4;3;1;1;acept;not furnished;350;206;35;2600
São Paulo;53;2;2;1;7;acept;not furnished;450;0;30;2350
Porto Alegre;39;1;1;1;5;not acept;furnished;350;67;38;2600
São Paulo;850;6;7;4;-;not acept;not furnished;15000;2465;196;13000
São Paulo;35;1;1;0;1;not acept;not furnished;250;0;17;1305
São Paulo;67;1;1;0;-;acept;not furnished;0;55;20;1300
São Paulo;120;3;2;1;6;acept;not furnished;850;120;33;2600
São Paulo;200;5;6;4;6;acept;not furnished;3300;1250;64;5000
Belo Horizonte;69;3;1;2;4;acept;not furnished;230;0;18;1300
Porto Alegre;60;2;1;1;-;acept;not furnished;0;0;10;540
Belo Horizonte;30;1;1;1;1;acept;furnished;800;30;12;890
Rio de Janeiro;30;1;1;0;11;acept;not furnished;500;21;16;1200
Campinas;650;4;6;4;-;acept;not furnished;760;1042;196;13000
Porto Alegre;80;2;1;1;3;not acept;not furnished;500;250;22;1500
São Paulo;35;1;1;1;1;acept;not furnished;0;30;13;977
Rio de Janeiro;135;3;2;1;6;acept;not furnished;1850;517;53;4100
São Paulo;60;2;1;0;3;acept;furnished;260;0;23;1800
Belo Horizonte;80;2;2;1;4;acept;not furnished;700;100;15;1070
Campinas;80;2;2;1;-;acept;not furnished;0;41;23;1500
Belo Horizonte;160;4;6;3;7;not acept;not furnished;1750;831;64;4750
São Paulo;135;2;2;1;12;acept;not furnished;1313;343;111;8700
Campinas;340;4;5;0;-;not acept;not furnished;800;334;61;4000
São Paulo;35;1;1;1;1;not acept;furnished;444;124;45;3507
Porto Alegre;38;1;1;0;6;not acept;not furnished;670;92;12;806
Porto Alegre;81;3;2;1;6;acept;not furnished;490;90;24;1630
Belo Horizonte;150;3;3;3;-;acept;not furnished;0;146;98;5950
São Paulo;126;3;1;2;-;acept;not furnished;0;299;64;4200
São Paulo;71;1;1;0;1;acept;not furnished;718;0;5;1443
São Paulo;20;1;1;0;-;acept;furnished;602;130;23;1800
Campinas;55;1;1;1;5;not acept;not furnished;730;80;10;750
Campinas;76;2;2;2;9;acept;furnished;1027;152;36;2800
Rio de Janeiro;40;1;1;0;3;acept;not furnished;700;100;37;2800
São Paulo;400;3;5;5;-;acept;not furnished;0;0;188;12500
Belo Horizonte;70;3;1;2;2;acept;not furnished;230;0;14;1000
São Paulo;38;1;1;1;16;acept;furnished;473;10;36;2800
Rio de Janeiro;80;2;1;0;6;acept;not furnished;1050;125;20;1500
Rio de Janeiro;64;1;1;0;7;acept;not furnished;670;105;16;1200
Belo Horizonte;300;4;3;2;-;acept;not furnished;0;695;164;10000
São Paulo;71;3;4;0;-;acept;not furnished;0;0;61;4000
São Paulo;25;1;1;1;5;not acept;furnished;600;92;45;3500
São Paulo;1000;4;7;4;10;acept;furnished;6000;4900;191;15000
São Paulo;196;3;5;3;3;acept;furnished;3338;1223;60;8440
Campinas;48;2;1;1;3;acept;not furnished;183;0;16;1190
São Paulo;315;3;5;2;14;not acept;not furnished;4300;959;254;20000
Belo Horizonte;184;3;1;2;1;acept;furnished;300;110;54;4000
Porto Alegre;450;5;4;4;-;acept;furnished;0;250;160;9000
São Paulo;102;3;2;2;1;acept;not furnished;1300;284;26;2000
Campinas;135;3;2;2;3;acept;not furnished;1100;92;26;2040
São Paulo;41;1;1;1;14;not acept;not furnished;707;36;39;3000
São Paulo;144;2;4;6;-;acept;not furnished;0;225;34;2196
Rio de Janeiro;110;3;3;1;6;not acept;not furnished;1300;100;13;1000
Porto Alegre;43;1;1;1;4;acept;not furnished;240;0;28;1870
São Paulo;450;4;5;2;-;not acept;furnished;0;1400;226;15000
Belo Horizonte;70;2;1;2;1;acept;not furnished;222;100;22;1600
São Paulo;220;4;4;4;5;not acept;not furnished;2056;1576;41;3230
São Paulo;52;1;2;1;13;acept;not furnished;1100;210;64;5000
São Paulo;198;2;2;2;13;acept;not furnished;1700;320;70;5500
São Paulo;30;2;1;0;-;acept;not furnished;0;5;23;1500
Rio de Janeiro;217;3;3;2;5;acept;furnished;2487;600;133;10300
São Paulo;290;4;4;0;-;acept;not furnished;0;1100;103;6800
Porto Alegre;70;2;1;0;1;acept;furnished;350;120;22;1450
Rio de Janeiro;45;1;1;0;5;not acept;furnished;700;84;33;2500
São Paulo;40;1;1;1;8;not acept;not furnished;800;50;22;1675
Campinas;180;4;3;2;-;acept;not furnished;1050;167;66;4348
Rio de Janeiro;90;2;1;0;2;acept;not furnished;200;142;16;1200
São Paulo;26;1;1;0;4;not acept;not furnished;394;28;15;1178
São Paulo;629;4;4;4;-;acept;not furnished;0;2064;226;15000
São Paulo;120;4;3;2;-;acept;not furnished;0;67;46;3000
Porto Alegre;49;1;1;0;1;not acept;not furnished;600;15;9;600
São Paulo;44;2;1;1;13;acept;not furnished;290;0;16;1250
São Paulo;427;4;6;4;13;acept;not furnished;3440;1350;127;10000
São Paulo;286;4;5;4;12;acept;furnished;3150;1580;51;4000
Porto Alegre;88;2;2;2;1;acept;not furnished;240;84;24;1600
São Paulo;120;2;3;2;20;acept;not furnished;2000;180;89;7000
São Paulo;74;1;2;2;16;acept;furnished;1300;285;46;3560
Porto Alegre;350;3;4;4;-;not acept;not furnished;0;167;63;3500
Porto Alegre;80;2;2;1;4;acept;not furnished;693;92;24;1600
São Paulo;63;2;2;1;18;acept;not furnished;784;136;55;4300
São Paulo;22;1;1;0;5;acept;not furnished;423;0;21;1600
São Paulo;94;2;3;0;9;acept;not furnished;1700;306;17;1300
São Paulo;60;2;1;0;-;acept;not furnished;0;25;25;1600
Rio de Janeiro;190;4;4;0;4;acept;not furnished;2200;600;52;4000
São Paulo;78;2;1;1;1;acept;not furnished;410;0;32;2500
Belo Horizonte;300;5;4;4;-;acept;not furnished;0;1461;148;9000
São Paulo;211;4;4;4;26;not acept;not furnished;1500;717;37;2880
Campinas;84;2;1;1;7;acept;not furnished;590;104;14;1100
Porto Alegre;300;3;3;5;-;acept;not furnished;0;89;68;3825
Belo Horizonte;497;5;5;4;-;not acept;not furnished;0;720;132;8000
São Paulo;71;3;2;1;2;acept;not furnished;530;130;32;2500
Rio de Janeiro;138;2;1;0;3;acept;not furnished;810;175;13;1000
Rio de Janeiro;120;3;2;1;12;acept;not furnished;1300;235;32;2480
Rio de Janeiro;110;2;2;1;2;acept;not furnished;1000;210;46;3500
São Paulo;30;1;1;1;14;acept;not furnished;457;72;36;2800
São Paulo;386;4;6;3;21;acept;not furnished;3890;1980;162;12750
Rio de Janeiro;70;2;1;0;4;acept;not furnished;680;96;26;2000
Belo Horizonte;120;3;2;2;2;acept;not furnished;150;196;23;1700
São Paulo;300;2;3;2;1;acept;not furnished;7000;1834;46;3560
São Paulo;40;1;1;0;-;not acept;not furnished;0;17;12;780
São Paulo;210;3;2;1;5;acept;furnished;3400;450;96;7500
Rio de Janeiro;62;3;2;1;4;acept;furnished;800;174;28;2100
Rio de Janeiro;84;3;2;1;6;acept;not furnished;839;234;24;1820
São Paulo;23;1;1;0;23;acept;not furnished;385;40;26;2050
São Paulo;140;2;4;2;19;not acept;not furnished;950;375;84;6599
São Paulo;40;1;1;1;5;acept;not furnished;512;13;27;2100
São Paulo;148;3;3;0;6;acept;not furnished;2056;200;31;2400
São Paulo;75;3;2;2;14;acept;not furnished;658;87;30;2300
São Paulo;40;1;1;0;-;acept;not furnished;0;17;10;650
Rio de Janeiro;77;2;2;2;2;acept;not furnished;1039;301;55;4200
São Paulo;90;2;2;0;1;not acept;not furnished;657;0;23;1800
Rio de Janeiro;300;4;4;0;-;acept;not furnished;0;344;58;3800
Rio de Janeiro;98;2;2;0;1;not acept;furnished;820;172;40;3050
São Paulo;64;2;2;1;4;acept;not furnished;750;0;36;2800
São Paulo;100;3;2;2;7;not acept;not furnished;1400;217;45;3500
Belo Horizonte;80;2;1;0;2;acept;not furnished;275;104;20;1500
São Paulo;110;3;2;1;2;not acept;not furnished;1341;259;56;4400
São Paulo;40;1;1;0;1;acept;not furnished;0;56;13;1000
Rio de Janeiro;80;2;1;0;3;acept;not furnished;877;74;24;1800
São Paulo;17;1;1;0;2;acept;not furnished;0;42;35;2700
São Paulo;137;2;2;1;-;not acept;not furnished;0;410;70;4600
São Paulo;230;4;3;4;17;not acept;furnished;2217;745;77;6000
Rio de Janeiro;90;3;3;1;5;acept;not furnished;811;52;22;1700
São Paulo;347;4;7;6;-;acept;not furnished;0;1000;134;8900
Belo Horizonte;200;4;3;0;-;acept;not furnished;0;36;246;15000
São Paulo;56;1;1;0;9;acept;not furnished;390;37;17;1300
Campinas;650;5;4;8;-;acept;furnished;0;442;128;8500
Rio de Janeiro;30;1;1;0;1;acept;not furnished;310;45;16;1200
Campinas;52;1;1;1;17;acept;furnished;750;123;16;1250
São Paulo;120;3;2;2;5;not acept;not furnished;1520;0;36;5000
Rio de Janeiro;50;1;1;1;5;acept;not furnished;90;0;14;1010
São Paulo;120;3;2;1;17;acept;not furnished;1250;230;26;2000
Belo Horizonte;80;2;2;2;12;acept;furnished;1100;300;64;4800
São Paulo;58;2;2;1;6;acept;not furnished;450;42;60;4700
Porto Alegre;89;3;1;0;3;acept;not furnished;631;85;17;1100
São Paulo;250;3;4;3;1;acept;furnished;2900;125;125;9800
São Paulo;242;5;3;2;-;acept;not furnished;0;380;64;4250
São Paulo;55;2;1;1;1;acept;furnished;300;84;28;2200
Belo Horizonte;45;1;1;0;-;acept;not furnished;0;127;19;1100
São Paulo;204;4;6;4;8;acept;furnished;3900;940;87;6800
Rio de Janeiro;37;1;1;0;4;acept;furnished;709;196;16;1200
São Paulo;50;1;1;0;6;acept;furnished;240;0;34;2640
São Paulo;73;2;2;2;1;acept;not furnished;778;84;16;1200
Porto Alegre;180;6;2;2;2;acept;not furnished;0;234;60;4100
Rio de Janeiro;300;4;2;0;-;acept;not furnished;219;280;99;6500
Porto Alegre;71;2;2;1;3;acept;not furnished;861;79;19;1300
São Paulo;284;3;2;2;9;acept;furnished;2300;584;84;6600
Campinas;37;1;1;1;2;acept;not furnished;478;0;8;555
São Paulo;35;1;1;0;-;not acept;not furnished;0;34;12;750
São Paulo;190;2;2;4;-;acept;not furnished;0;0;64;4200
São Paulo;67;2;1;1;2;acept;furnished;894;25;21;1600
Rio de Janeiro;98;2;2;0;10;acept;not furnished;950;223;38;2882
São Paulo;260;4;5;2;1;acept;furnished;2600;417;102;8000
São Paulo;139;3;2;2;1;not acept;not furnished;1600;325;50;3870
Porto Alegre;76;2;2;1;4;acept;not furnished;700;0;33;2200
Belo Horizonte;150;3;2;1;3;acept;not furnished;480;224;40;3000
Rio de Janeiro;51;1;1;1;4;acept;not furnished;800;64;15;1100
Belo Horizonte;120;3;2;2;2;acept;not furnished;150;195;23;1700
Porto Alegre;42;1;1;0;3;acept;furnished;150;0;16;1050
Belo Horizonte;180;4;2;2;1;acept;not furnished;1500;267;38;2800
São Paulo;65;2;1;0;1;acept;furnished;286;17;54;4200
São Paulo;420;5;4;4;7;acept;not furnished;8000;200;153;12000
São Paulo;90;2;2;2;9;not acept;not furnished;1649;850;18;1400
São Paulo;44;1;1;0;7;acept;not furnished;460;0;22;1700
São Paulo;240;2;3;1;3;acept;furnished;2300;30;83;6500
São Paulo;280;4;5;4;-;acept;not furnished;0;350;96;6350
São Paulo;120;2;2;3;9;acept;not furnished;2449;575;42;3300
Belo Horizonte;140;4;3;4;10;not acept;not furnished;1050;376;31;2300
São Paulo;65;2;2;1;16;acept;not furnished;489;68;23;1750
Belo Horizonte;52;1;2;1;11;acept;furnished;1000;211;48;3600
Porto Alegre;199;3;4;3;7;acept;furnished;900;334;128;8750
Porto Alegre;71;2;2;1;4;acept;not furnished;1080;100;40;2700
São Paulo;42;1;1;0;2;acept;not furnished;530;0;36;2800
São Paulo;420;4;3;4;-;acept;not furnished;0;1250;226;15000
Porto Alegre;169;2;1;1;-;acept;not furnished;0;55;50;2800
São Paulo;170;3;2;4;6;acept;not furnished;3678;1130;20;1500
São Paulo;45;2;2;0;-;not acept;not furnished;0;84;25;1650
São Paulo;60;2;1;1;6;acept;not furnished;660;98;35;2700
São Paulo;76;3;2;2;3;acept;not furnished;915;104;19;1450
Porto Alegre;47;1;1;1;1;not acept;furnished;400;0;33;2200
São Paulo;22;1;1;0;25;acept;not furnished;472;55;28;2200
Rio de Janeiro;63;2;2;1;1;acept;not furnished;600;92;24;1800
São Paulo;33;1;1;1;7;not acept;furnished;630;0;46;3600
São Paulo;96;3;2;2;19;acept;not furnished;480;250;30;2300
Belo Horizonte;573;4;3;6;-;acept;not furnished;0;737;164;10000
Rio de Janeiro;84;3;1;0;2;acept;not furnished;805;209;31;2400
Campinas;400;4;4;3;-;acept;not furnished;1200;458;131;8700
Belo Horizonte;150;3;3;2;4;acept;not furnished;350;0;26;1950
São Paulo;120;3;1;0;11;acept;not furnished;680;110;26;2040
São Paulo;78;2;1;1;-;acept;not furnished;0;82;26;1700
São Paulo;20;1;1;0;4;acept;furnished;602;130;23;1800
Porto Alegre;117;2;1;1;4;acept;not furnished;380;73;31;2100
São Paulo;40;1;1;0;1;acept;furnished;350;0;27;2090
Rio de Janeiro;50;2;1;0;1;not acept;not furnished;1000;92;14;1059
Porto Alegre;80;3;1;1;1;acept;not furnished;350;46;19;1300
São Paulo;65;2;1;1;1;acept;not furnished;580;57;33;2600
Porto Alegre;90;2;2;0;3;acept;not furnished;320;34;17;1125
São Paulo;76;2;1;1;16;acept;furnished;700;0;71;5600
Campinas;85;3;2;2;9;acept;furnished;510;165;39;3000
São Paulo;76;1;2;2;5;acept;furnished;540;220;36;2800
Rio de Janeiro;92;2;1;1;12;acept;not furnished;1000;134;24;1839
São Paulo;150;3;3;3;-;acept;not furnished;100;234;70;4600
São Paulo;515;5;4;3;5;acept;not furnished;5600;250;191;15000
Porto Alegre;91;2;1;0;2;acept;not furnished;316;69;20;1350
São Paulo;161;3;3;3;23;acept;furnished;2000;667;191;15000
São Paulo;64;2;1;1;2;acept;not furnished;500;11;18;1400
Porto Alegre;59;1;1;1;12;acept;not furnished;300;67;33;2200
Belo Horizonte;150;4;4;4;12;acept;not furnished;890;522;56;4200
São Paulo;90;3;4;2;9;acept;furnished;1200;266;70;5500
Rio de Janeiro;30;1;1;0;5;acept;not furnished;653;26;24;1800
São Paulo;127;2;3;1;-;acept;not furnished;0;15;49;3200
São Paulo;48;1;1;1;2;not acept;not furnished;867;133;30;2300
São Paulo;90;2;2;1;-;not acept;not furnished;0;414;68;4500
São Paulo;20;1;1;0;5;acept;furnished;602;130;23;1800
São Paulo;82;2;1;1;5;acept;not furnished;1060;21;42;3300
São Paulo;66;2;2;2;15;acept;not furnished;580;116;32;2500
São Paulo;81;3;1;1;3;acept;not furnished;900;142;36;2800
São Paulo;170;3;3;3;-;acept;not furnished;0;239;64;4200
Belo Horizonte;280;4;7;4;6;not acept;not furnished;350;660;40;3000
Belo Horizonte;70;2;1;1;2;acept;not furnished;250;90;19;1400
Porto Alegre;69;2;2;2;10;acept;not furnished;670;158;37;2500
Belo Horizonte;143;3;2;3;11;not acept;not furnished;680;170;34;2500
São Paulo;50;1;1;0;-;not acept;not furnished;0;34;19;1250
Campinas;102;3;2;0;15;acept;not furnished;918;248;32;2500
São Paulo;60;2;1;0;-;acept;not furnished;0;38;19;1200
Campinas;265;3;3;2;-;acept;not furnished;0;140;37;2400
Rio de Janeiro;76;2;1;1;3;acept;not furnished;1353;179;36;2750
São Paulo;96;3;2;2;14;not acept;furnished;1122;285;108;8500
São Paulo;70;2;1;1;7;acept;furnished;467;170;23;1800
São Paulo;140;3;4;2;11;acept;furnished;1750;615;153;12000
São Paulo;81;2;1;1;3;not acept;not furnished;710;217;36;2810
Porto Alegre;52;2;1;0;2;acept;not furnished;380;55;22;1500
São Paulo;298;5;3;3;-;acept;not furnished;0;1384;121;8000
Porto Alegre;70;2;2;2;9;acept;not furnished;535;59;24;1600
São Paulo;92;2;1;1;2;acept;not furnished;425;72;20;1536
Rio de Janeiro;190;4;3;2;17;acept;furnished;2500;375;120;9300
Porto Alegre;42;1;1;0;10;acept;not furnished;32000;40;11;700
São Paulo;40;1;1;1;6;not acept;not furnished;765;34;32;2500
Rio de Janeiro;312;4;4;3;13;acept;not furnished;4000;1084;194;15000
São Paulo;106;2;1;2;-;not acept;not furnished;0;110;32;2100
Campinas;110;3;3;2;-;acept;not furnished;560;88;56;3700
São Paulo;384;5;5;3;13;acept;not furnished;4000;1240;102;8000
Porto Alegre;69;2;1;0;2;acept;not furnished;240;410;18;1200
São Paulo;82;2;2;0;13;acept;furnished;800;38;58;4500
Belo Horizonte;500;7;6;3;-;acept;not furnished;0;384;246;15000
São Paulo;130;3;2;1;12;acept;not furnished;1267;334;58;4500
São Paulo;55;1;1;0;-;acept;not furnished;0;138;23;1500
São Paulo;170;4;4;2;4;not acept;not furnished;1411;417;36;2800
Campinas;183;4;2;0;-;acept;not furnished;920;238;37;2400
São Paulo;336;3;5;3;-;acept;furnished;299;208;91;6000
São Paulo;45;1;1;1;1;not acept;furnished;3000;0;70;5520
São Paulo;40;1;1;0;3;acept;furnished;350;40;22;1700
Belo Horizonte;45;3;1;0;-;acept;not furnished;0;127;22;1300
Rio de Janeiro;180;3;3;0;-;acept;not furnished;20;170;39;2550
São Paulo;23;1;1;0;23;acept;not furnished;399;42;27;2100
Porto Alegre;53;1;1;0;2;acept;not furnished;277;20;8;500
São Paulo;100;2;2;1;6;acept;not furnished;1050;240;51;4000
São Paulo;400;4;5;4;8;acept;furnished;3884;1671;111;8700
Rio de Janeiro;92;1;3;1;10;not acept;not furnished;1450;365;36;2720
Belo Horizonte;420;6;4;0;5;acept;not furnished;927;405;47;3500
Rio de Janeiro;78;3;1;1;14;not acept;furnished;900;100;37;2800
São Paulo;70;2;1;1;11;not acept;furnished;500;5;23;1800
Campinas;500;6;5;8;-;acept;not furnished;0;625;121;8000
São Paulo;130;3;4;2;3;not acept;furnished;2500;667;26;2000
Rio de Janeiro;24;1;1;0;12;not acept;not furnished;445;42;26;2000
São Paulo;125;2;1;1;11;acept;not furnished;700;63;26;2000
São Paulo;242;3;4;2;2;acept;not furnished;2200;952;58;4500
São Paulo;69;3;1;1;1;acept;not furnished;413;0;16;1199
São Paulo;135;2;2;1;8;acept;furnished;1063;159;42;3250
Belo Horizonte;43;2;1;1;2;acept;not furnished;199;100;9;620
São Paulo;565;4;5;6;-;acept;furnished;2337;2112;224;14850
Porto Alegre;62;2;1;1;6;not acept;not furnished;485;54;19;1296
Belo Horizonte;112;4;1;2;-;acept;not furnished;0;212;32;1900
São Paulo;31;1;1;1;14;acept;not furnished;478;75;32;2500
São Paulo;89;3;3;0;9;acept;furnished;990;84;45;3550
Porto Alegre;100;2;2;0;-;acept;not furnished;0;0;40;2200
São Paulo;65;2;1;0;24;acept;furnished;650;200;77;6000
Campinas;60;3;2;0;2;acept;not furnished;350;88;30;2362
Porto Alegre;75;3;2;1;3;not acept;furnished;450;98;29;1950
Porto Alegre;41;1;1;1;2;acept;not furnished;540;35;17;1150
São Paulo;100;2;1;0;1;acept;furnished;765;0;42;3300
São Paulo;288;3;2;2;-;acept;not furnished;0;457;56;3700
São Paulo;400;5;6;0;-;acept;not furnished;0;0;79;5200
São Paulo;240;3;2;1;-;acept;not furnished;0;667;226;15000
São Paulo;80;1;1;1;-;acept;not furnished;0;75;18;1150
Campinas;43;2;1;1;-;acept;not furnished;274;7;13;1000
São Paulo;25;1;1;0;1;not acept;not furnished;0;35;16;1200
São Paulo;49;2;1;1;17;not acept;furnished;665;100;26;2000
São Paulo;40;1;1;0;-;not acept;not furnished;0;63;15;970
Porto Alegre;71;2;1;0;2;acept;not furnished;0;0;22;1500
São Paulo;50;2;1;0;10;acept;not furnished;450;25;19;1430
São Paulo;44;1;1;0;-;acept;furnished;0;125;28;1800
São Paulo;400;4;2;8;-;acept;not furnished;0;117;109;7200
Porto Alegre;225;3;3;2;3;acept;not furnished;1100;192;56;3800
Rio de Janeiro;82;3;2;2;4;acept;not furnished;967;92;29;2200
São Paulo;102;3;1;1;-;acept;not furnished;0;0;27;1760
Porto Alegre;981;3;2;4;-;acept;furnished;0;4500;125;7000
Rio de Janeiro;25;1;1;0;-;acept;not furnished;50;0;10;700
São Paulo;230;3;4;0;16;acept;furnished;1700;700;39;3000
São Paulo;280;3;4;3;3;acept;not furnished;1717;250;66;5200
São Paulo;69;3;1;1;8;acept;not furnished;650;84;18;1350
Rio de Janeiro;58;1;2;0;5;acept;not furnished;700;90;21;1600
Campinas;58;1;1;0;3;acept;not furnished;500;38;14;1050
Campinas;64;2;1;1;-;acept;not furnished;441;18;10;730
São Paulo;84;3;1;1;6;acept;not furnished;670;100;28;2180
Rio de Janeiro;35;1;1;0;7;not acept;not furnished;450;21;15;1100
Rio de Janeiro;78;2;1;0;5;acept;not furnished;850;94;21;1600
São Paulo;55;2;1;2;4;not acept;not furnished;780;142;13;980
São Paulo;250;4;5;4;5;acept;furnished;3500;1540;191;15000
Rio de Janeiro;110;3;2;0;7;not acept;not furnished;1100;300;63;4860
São Paulo;206;2;1;3;-;acept;not furnished;0;214;53;3500
São Paulo;150;3;4;1;-;acept;not furnished;0;491;64;4250
São Paulo;180;4;3;2;11;acept;furnished;1880;460;115;9000
São Paulo;330;4;5;4;-;acept;not furnished;0;750;98;6500
São Paulo;68;1;1;0;-;not acept;not furnished;0;0;17;1100
São Paulo;280;4;4;4;6;not acept;furnished;3200;100;77;6000
Campinas;85;3;2;1;7;acept;not furnished;915;63;20;1500
São Paulo;55;2;1;0;1;acept;not furnished;340;0;20;1530
São Paulo;90;3;2;1;13;not acept;not furnished;1100;25;36;2800
Belo Horizonte;96;3;1;1;-;not acept;not furnished;0;34;20;1200
Belo Horizonte;250;4;1;8;-;acept;not furnished;0;231;35;2125
Porto Alegre;80;2;2;1;2;acept;not furnished;500;100;27;1800
Porto Alegre;41;1;2;1;9;acept;not furnished;400;67;41;2800
São Paulo;75;2;1;3;5;not acept;not furnished;700;250;32;2500
São Paulo;800;7;7;8;-;acept;not furnished;0;3000;136;9000
Rio de Janeiro;45;1;1;0;5;acept;not furnished;750;34;13;1000
São Paulo;74;2;2;2;17;acept;not furnished;1000;120;64;5000
